,indication,chembl_id,max_phase_for_ind,mesh_heading,mesh_id
37656,rectum cancer,CHEMBL848,1,Rectal Neoplasms,D012004
37657,complex regional pain syndrome,CHEMBL848,2,Complex Regional Pain Syndromes,D020918
37658,prolymphocytic leukemia,CHEMBL848,2,"Leukemia, Prolymphocytic",D015463
37659,urinary bladder cancer,CHEMBL848,2,Urinary Bladder Neoplasms,D001749
37660,peritoneum cancer,CHEMBL848,1,Peritoneal Neoplasms,D010534
37661,fallopian tube cancer,CHEMBL848,1,Fallopian Tube Neoplasms,D005185
37662,kidney cancer,CHEMBL848,2,Kidney Neoplasms,D007680
37663,liver cancer,CHEMBL848,2,Liver Neoplasms,D008113
37664,radiculopathy,CHEMBL848,2,Radiculopathy,D011843
37665,B-cell neoplasm,CHEMBL848,1,"Lymphoma, B-Cell",D016393
37666,urethra cancer,CHEMBL848,1,Urethral Neoplasms,D014523
37667,ovarian cancer,CHEMBL848,1,Ovarian Neoplasms,D010051
37668,prostate cancer,CHEMBL848,3,"Prostatic Neoplasms, Castration-Resistant",D064129
37669,graft versus host disease,CHEMBL848,2,Graft vs Host Disease,D006086
37670,T-cell non-Hodgkin lymphoma,CHEMBL848,2,"Lymphoma, T-Cell",D016399
37671,follicular lymphoma,CHEMBL848,3,"Lymphoma, Follicular",D008224
37672,adult T-cell leukemia/lymphoma,CHEMBL848,2,"Leukemia-Lymphoma, Adult T-Cell",D015459
37673,malignant colon neoplasm,CHEMBL848,1,Colonic Neoplasms,D003110
37674,hematopoietic and lymphoid cell neoplasm,CHEMBL848,2,Hematologic Neoplasms,D019337
37675,myelofibrosis,CHEMBL848,2,Primary Myelofibrosis,D055728
37676,viral disease,CHEMBL308954,4,Virus Diseases,D014777
37677,Friedreich ataxia,CHEMBL308954,2,Friedreich Ataxia,D005621
37694,angioimmunoblastic T-cell lymphoma,CHEMBL325041,1,Immunoblastic Lymphadenopathy,D007119
37695,Burkitts lymphoma,CHEMBL325041,1,Burkitt Lymphoma,D002051
37696,chronic myeloproliferative disorder,CHEMBL325041,0,Myeloproliferative Disorders,D009196
37697,anaplastic large cell lymphoma,CHEMBL325041,1,"Lymphoma, Large-Cell, Anaplastic",D017728
37698,Central Nervous System Neoplasm,CHEMBL325041,2,Central Nervous System Neoplasms,D016543
37699,Sezary's disease,CHEMBL325041,1,Sezary Syndrome,D012751
37700,mycosis fungoides,CHEMBL325041,1,Mycosis Fungoides,D009182
37701,uremia,CHEMBL325041,1,Uremia,D014511
37702,"Lymphoma, AIDS-Related",CHEMBL325041,1,"Lymphoma, AIDS-Related",D016483
37703,soft tissue sarcoma,CHEMBL325041,2,Sarcoma,D012509
37704,lymphoblastic lymphoma,CHEMBL325041,3,Precursor Cell Lymphoblastic Leukemia-Lymphoma,D054198
37705,gastric cancer,CHEMBL325041,2,Stomach Neoplasms,D013274
37706,urinary bladder cancer,CHEMBL325041,2,Urinary Bladder Neoplasms,D001749
37707,peritoneum cancer,CHEMBL325041,1,Peritoneal Neoplasms,D010534
37708,fallopian tube cancer,CHEMBL325041,1,Fallopian Tube Neoplasms,D005185
37709,kidney cancer,CHEMBL325041,2,Kidney Neoplasms,D007680
37710,cervical cancer,CHEMBL325041,2,Uterine Cervical Neoplasms,D002583
37711,salivary gland adenoid cystic carcinoma,CHEMBL325041,2,"Carcinoma, Adenoid Cystic",D003528
37712,urethra cancer,CHEMBL325041,2,Urethral Neoplasms,D014523
37713,breast cancer,CHEMBL325041,2,Breast Neoplasms,D001943
37714,esophageal cancer,CHEMBL325041,2,Esophageal Neoplasms,D004938
37715,ovarian cancer,CHEMBL325041,2,Ovarian Neoplasms,D010051
37716,prostate cancer,CHEMBL325041,2,"Prostatic Neoplasms, Castration-Resistant",D064129
37717,ureter cancer,CHEMBL325041,2,Ureteral Neoplasms,D014516
37718,lung cancer,CHEMBL325041,2,Lung Neoplasms,D008175
37719,classic Hodgkin lymphoma,CHEMBL325041,2,Hodgkin Disease,D006689
37720,graft versus host disease,CHEMBL325041,2,Graft vs Host Disease,D006086
37721,medullary thyroid gland carcinoma,CHEMBL325041,1,"Carcinoma, Medullary",D018276
37722,Castleman disease,CHEMBL325041,2,Castleman Disease,D005871
37723,follicular lymphoma,CHEMBL325041,2,"Lymphoma, Follicular",D008224
37724,acute leukemia of ambiguous lineage,CHEMBL325041,2,"Leukemia, Biphenotypic, Acute",D015456
37725,adult T-cell leukemia/lymphoma,CHEMBL325041,1,"Leukemia-Lymphoma, Adult T-Cell",D015459
37726,hematopoietic and lymphoid cell neoplasm,CHEMBL325041,2,Hematologic Neoplasms,D019337
37727,Lymphoproliferative syndrome,CHEMBL325041,2,Lymphoproliferative Disorders,D008232
37728,urinary schistosomiasis,CHEMBL38827,2,Schistosomiasis haematobia,D012553
37729,viral disease,CHEMBL1323,4,Virus Diseases,D014777
37730,pneumocystosis,CHEMBL1323,3,"Pneumonia, Pneumocystis",D011020
37731,angiosarcoma,CHEMBL180022,2,Hemangiosarcoma,D006394
37732,breast cancer,CHEMBL180022,3,Breast Neoplasms,D001943
37734,cancer,CHEMBL198362,3,Neoplasms,D009369
37735,severe acute respiratory syndrome,CHEMBL198362,3,Severe Acute Respiratory Syndrome,D045169
37736,morbid obesity,CHEMBL198362,1,"Obesity, Morbid",D009767
37737,hematoma,CHEMBL198362,3,Hematoma,D006406
37738,Renal insufficiency,CHEMBL198362,3,Renal Insufficiency,D051437
37739,Thrombocytopenia,CHEMBL198362,3,Thrombocytopenia,D013921
37740,Thromboembolism,CHEMBL198362,2,Thromboembolism,D013923
37741,thrombotic disease,CHEMBL198362,4,Thrombosis,D013927
37742,kidney disease,CHEMBL1404,1,Kidney Diseases,D007674
37743,diffuse intrinsic pontine glioma,CHEMBL1421,2,Diffuse Intrinsic Pontine Glioma,D000080443
37744,Central Nervous System Neoplasm,CHEMBL1421,1,Central Nervous System Neoplasms,D016543
37745,rectum cancer,CHEMBL1421,2,Rectal Neoplasms,D012004
37746,childhood acute lymphoblastic leukemia,CHEMBL1421,4,Precursor Cell Lymphoblastic Leukemia-Lymphoma,D054198
37747,lymphoblastic lymphoma,CHEMBL1421,4,Precursor Cell Lymphoblastic Leukemia-Lymphoma,D054198
37748,peritoneum cancer,CHEMBL1421,1,Peritoneal Neoplasms,D010534
37749,fallopian tube cancer,CHEMBL1421,1,Fallopian Tube Neoplasms,D005185
37750,salivary gland adenoid cystic carcinoma,CHEMBL1421,2,"Carcinoma, Adenoid Cystic",D003528
37751,myeloid leukemia,CHEMBL1421,1,"Leukemia, Myeloid",D007951
37752,breast cancer,CHEMBL1421,2,Breast Neoplasms,D001943
37753,ovarian cancer,CHEMBL1421,1,Ovarian Neoplasms,D010051
37754,prostate cancer,CHEMBL1421,2,"Prostatic Neoplasms, Castration-Resistant",D064129
37755,lung cancer,CHEMBL1421,2,Lung Neoplasms,D008175
37756,endometrial cancer,CHEMBL1421,0,Endometrial Neoplasms,D016889
37757,systemic mastocytosis,CHEMBL1421,2,"Mastocytosis, Systemic",D034721
37758,follicular lymphoma,CHEMBL1421,1,"Lymphoma, Follicular",D008224
37759,T-cell large granular lymphocyte leukemia,CHEMBL1421,1,"Leukemia, Large Granular Lymphocytic",D054066
37760,adult T-cell leukemia/lymphoma,CHEMBL1421,1,"Leukemia-Lymphoma, Adult T-Cell",D015459
37761,extranodal nasal NK/T cell lymphoma,CHEMBL1421,1,"Granuloma, Lethal Midline",D006103
37762,malignant colon neoplasm,CHEMBL1421,2,Colonic Neoplasms,D003110
37763,viral disease,CHEMBL374731,4,Virus Diseases,D014777
37764,Hepatitis,CHEMBL374731,3,Hepatitis,D006505
37765,Flushing,CHEMBL426559,2,Flushing,D005483
37766,viral disease,CHEMBL231813,4,Virus Diseases,D014777
37767,ischemia,CHEMBL231779,3,Ischemia,D007511
37768,nephrotic syndrome,CHEMBL231779,1,Nephrotic Syndrome,D009404
37769,hematoma,CHEMBL231779,3,Hematoma,D006406
37770,Renal insufficiency,CHEMBL231779,3,Renal Insufficiency,D051437
37771,Patent foramen ovale,CHEMBL231779,2,"Foramen Ovale, Patent",D054092
37772,Thromboembolism,CHEMBL231779,1,Thromboembolism,D013923
37773,thrombotic disease,CHEMBL231779,4,Thrombosis,D013927
37774,cerebellar ataxia,CHEMBL255863,2,Cerebellar Ataxia,D002524
37775,giant cell tumor,CHEMBL255863,2,Giant Cell Tumors,D005870
37776,myeloid leukemia,CHEMBL255863,3,"Leukemia, Myeloid",D007951
37777,breast cancer,CHEMBL255863,1,Breast Neoplasms,D001943
37778,graft versus host disease,CHEMBL255863,2,Graft vs Host Disease,D006086
37779,malignant colon neoplasm,CHEMBL255863,0,Colonic Neoplasms,D003110
37780,adenocarcinoma,CHEMBL408513,1,Adenocarcinoma,D000230
37781,ovarian serous cystadenocarcinoma,CHEMBL408513,2,"Cystadenoma, Serous",D018293
37782,"Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",CHEMBL408513,1,Blast Crisis,D001752
37783,soft tissue sarcoma,CHEMBL408513,1,Sarcoma,D012509
37784,peritoneum cancer,CHEMBL408513,2,Peritoneal Neoplasms,D010534
37785,fallopian tube cancer,CHEMBL408513,2,Fallopian Tube Neoplasms,D005185
37786,follicular lymphoma,CHEMBL408513,1,"Lymphoma, Follicular",D008224
37787,adult T-cell leukemia/lymphoma,CHEMBL408513,2,"Leukemia-Lymphoma, Adult T-Cell",D015459
37789,breast cancer,CHEMBL361497,1,Breast Neoplasms,D001943
37790,polycystic ovary syndrome,CHEMBL429910,3,Polycystic Ovary Syndrome,D011085
37791,hyperuricemia,CHEMBL429910,2,Hyperuricemia,D033461
37792,breast cancer,CHEMBL473417,2,Breast Neoplasms,D001943
37793,ovarian cancer,CHEMBL473417,2,Ovarian Neoplasms,D010051
37794,prostate cancer,CHEMBL473417,0,"Prostatic Neoplasms, Castration-Resistant",D064129
37795,myelofibrosis,CHEMBL473417,1,Primary Myelofibrosis,D055728
37799,plasmacytoma,CHEMBL451887,1,Plasmacytoma,D010954
37800,prolymphocytic leukemia,CHEMBL451887,1,"Leukemia, Prolymphocytic",D015463
37801,neuroendocrine carcinoma,CHEMBL451887,2,"Carcinoma, Neuroendocrine",D018278
37802,kidney cancer,CHEMBL451887,2,Kidney Neoplasms,D007680
37803,prostate cancer,CHEMBL451887,2,"Prostatic Neoplasms, Castration-Resistant",D064129
37804,graft versus host disease,CHEMBL451887,2,Graft vs Host Disease,D006086
37805,follicular lymphoma,CHEMBL451887,2,"Lymphoma, Follicular",D008224
37810,lymphoblastic lymphoma,CHEMBL1750,3,Precursor Cell Lymphoblastic Leukemia-Lymphoma,D054198
37811,graft versus host disease,CHEMBL1750,2,Graft vs Host Disease,D006086
37812,T-cell non-Hodgkin lymphoma,CHEMBL1750,1,"Lymphoma, T-Cell",D016399
37815,kidney disease,CHEMBL601719,1,Kidney Diseases,D007674
37816,diffuse intrinsic pontine glioma,CHEMBL601719,1,Diffuse Intrinsic Pontine Glioma,D000080443
37817,gastric cancer,CHEMBL601719,2,Stomach Neoplasms,D013274
37818,breast cancer,CHEMBL601719,1,Breast Neoplasms,D001943
37819,prostate cancer,CHEMBL601719,1,"Prostatic Neoplasms, Castration-Resistant",D064129
37820,lung cancer,CHEMBL601719,1,Lung Neoplasms,D008175
37821,inflammatory myofibroblastic tumor,CHEMBL601719,2,"Granuloma, Plasma Cell",D006104
37822,Neurofibromatosis type 2,CHEMBL601719,2,Neurofibromatosis 2,D016518
37827,meningitis (disease),CHEMBL501122,1,Meningitis,D008581
37834,ganglioneuroblastoma,CHEMBL1201182,2,Ganglioneuroblastoma,D018305
37835,metastasis,CHEMBL1201182,3,Neoplasm Metastasis,D009362
37836,diffuse intrinsic pontine glioma,CHEMBL1201182,1,Diffuse Intrinsic Pontine Glioma,D000080443
37837,Central Nervous System Neoplasm,CHEMBL1201182,2,Central Nervous System Neoplasms,D016543
37838,Uterine Carcinosarcoma,CHEMBL1201182,2,Retroviridae Infections,D012192
37839,soft tissue sarcoma,CHEMBL1201182,2,Sarcoma,D012509
37840,urinary bladder cancer,CHEMBL1201182,2,Urinary Bladder Neoplasms,D001749
37841,peritoneum cancer,CHEMBL1201182,1,Peritoneal Neoplasms,D010534
37842,thyroid cancer,CHEMBL1201182,2,Thyroid Neoplasms,D013964
37843,fallopian tube cancer,CHEMBL1201182,2,Fallopian Tube Neoplasms,D005185
37844,kidney cancer,CHEMBL1201182,2,Kidney Neoplasms,D007680
37845,liver cancer,CHEMBL1201182,2,Liver Neoplasms,D008113
37846,cervical cancer,CHEMBL1201182,1,Uterine Cervical Neoplasms,D002583
37847,mixed glioma,CHEMBL1201182,1,Glioma,D005910
37848,urethra cancer,CHEMBL1201182,1,Urethral Neoplasms,D014523
37849,breast cancer,CHEMBL1201182,3,Breast Neoplasms,D001943
37850,ovarian cancer,CHEMBL1201182,2,Ovarian Neoplasms,D010051
37851,prostate cancer,CHEMBL1201182,2,"Prostatic Neoplasms, Castration-Resistant",D064129
37852,lung cancer,CHEMBL1201182,1,Lung Neoplasms,D008175
37853,endometrial cancer,CHEMBL1201182,2,Endometrial Neoplasms,D016889
37854,pilocytic astrocytoma,CHEMBL1201182,1,Astrocytoma,D001254
37855,subependymal giant cell astrocytoma,CHEMBL1201182,1,Astrocytoma,D001254
37856,malignant colon neoplasm,CHEMBL1201182,1,Colonic Neoplasms,D003110
37857,pancreatic insulinoma,CHEMBL1201182,2,Insulinoma,D007340
37858,graft versus host disease,CHEMBL1201187,2,Graft vs Host Disease,D006086
37859,hematopoietic and lymphoid cell neoplasm,CHEMBL1201187,2,Hematologic Neoplasms,D019337
37860,esophageal cancer,CHEMBL1201192,2,Esophageal Neoplasms,D004938
37861,narcolepsy,CHEMBL1201192,4,Narcolepsy,D009290
37862,brain injury,CHEMBL1201192,3,Brain Injuries,D001930
37863,parathyroid disease,CHEMBL1201284,4,Parathyroid Diseases,D010279
37878,mature T-cell and NK-cell non-Hodgkin lymphoma,CHEMBL1201746,4,"Lymphoma, T-Cell, Peripheral",D016411
37879,peritoneum cancer,CHEMBL1201746,1,Peritoneal Neoplasms,D010534
37880,fallopian tube cancer,CHEMBL1201746,1,Fallopian Tube Neoplasms,D005185
37881,ovarian cancer,CHEMBL1201746,1,Ovarian Neoplasms,D010051
37882,lung cancer,CHEMBL1201746,2,Lung Neoplasms,D008175
37883,adult T-cell leukemia/lymphoma,CHEMBL1201746,2,"Leukemia-Lymphoma, Adult T-Cell",D015459
37886,pancreatic ductal adenocarcinoma,CHEMBL343448,1,"Carcinoma, Pancreatic Ductal",D021441
37887,mature T-cell and NK-cell non-Hodgkin lymphoma,CHEMBL343448,4,"Lymphoma, T-Cell, Peripheral",D016411
37888,urinary bladder cancer,CHEMBL343448,2,Urinary Bladder Neoplasms,D001749
37889,urethra cancer,CHEMBL343448,2,Urethral Neoplasms,D014523
37890,ovarian cancer,CHEMBL343448,2,Ovarian Neoplasms,D010051
37891,prostate cancer,CHEMBL343448,2,"Prostatic Neoplasms, Castration-Resistant",D064129
37892,follicular lymphoma,CHEMBL343448,2,"Lymphoma, Follicular",D008224
37893,bipolar disorder,CHEMBL1214124,1,Bipolar Disorder,D001714
37894,post-traumatic stress disorder,CHEMBL1214124,1,"Stress Disorders, Post-Traumatic",D013313
37895,Torticollis,CHEMBL1214124,1,Torticollis,D014103
37896,Bilateral tonic-clonic seizure,CHEMBL1214124,3,"Epilepsy, Tonic-Clonic",D004830
37897,major depressive disorder,CHEMBL1214124,1,"Depressive Disorder, Major",D003865
37907,biliary tract neoplasm,CHEMBL1289926,2,Biliary Tract Neoplasms,D001661
37908,"Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",CHEMBL1289926,1,Blast Crisis,D001752
37909,gastric cancer,CHEMBL1289926,1,Stomach Neoplasms,D013274
37910,kidney cancer,CHEMBL1289926,3,Kidney Neoplasms,D007680
37911,salivary gland cancer,CHEMBL1289926,2,Salivary Gland Neoplasms,D012468
37912,prostate cancer,CHEMBL1289926,2,"Prostatic Neoplasms, Castration-Resistant",D064129
37913,endometrial cancer,CHEMBL1289926,2,Endometrial Neoplasms,D016889
37914,solitary fibrous tumor,CHEMBL1289926,2,Solitary Fibrous Tumors,D054364
37915,Gastrointestinal stromal tumor,CHEMBL1289926,2,Gastrointestinal Stromal Tumors,D046152
37917,Renal insufficiency,CHEMBL2135460,3,Renal Insufficiency,D051437
37918,severe acute respiratory syndrome,CHEMBL1789941,3,Severe Acute Respiratory Syndrome,D045169
37919,breast cancer,CHEMBL1789941,2,Breast Neoplasms,D001943
37920,prostate cancer,CHEMBL1789941,2,"Prostatic Neoplasms, Castration-Resistant",D064129
37921,lung cancer,CHEMBL1789941,1,Lung Neoplasms,D008175
37922,classic Hodgkin lymphoma,CHEMBL1789941,2,Hodgkin Disease,D006689
37923,graft versus host disease,CHEMBL1789941,3,Graft vs Host Disease,D006086
37924,hemophagocytic syndrome,CHEMBL1789941,2,"Lymphohistiocytosis, Hemophagocytic",D051359
37925,myelofibrosis,CHEMBL1789941,3,Primary Myelofibrosis,D055728
38048,Shock,CHEMBL373742,3,Shock,D012769
38049,leiomyoma,CHEMBL373742,2,Leiomyoma,D007889
38050,major depressive disorder,CHEMBL373742,2,"Depressive Disorder, Major",D003865
38051,benign muscle neoplasm,CHEMBL373742,3,Myoma,D009214
38052,diabetes insipidus,CHEMBL373742,4,Diabetes Insipidus,D003919
38053,pulmonary hypertension,CHEMBL373742,2,"Hypertension, Pulmonary",D006976
38485,toothache,CHEMBL485,3,Toothache,D014098
38486,autism spectrum disorder,CHEMBL1201320,1,"Child Development Disorders, Pervasive",D002659
38487,chronic hepatitis B virus infection,CHEMBL1201320,1,"Hepatitis B, Chronic",D019694
38488,gastrointestinal disease,CHEMBL1201320,3,Digestive System Diseases,D004066
38489,peptic ulcer disease,CHEMBL1201320,4,Peptic Ulcer,D010437
38490,esophageal cancer,CHEMBL1201320,3,Esophageal Neoplasms,D004938
38491,ulcer disease,CHEMBL1201320,3,Ulcer,D014456
38609,pyelonephritis,CHEMBL1689063,3,Pyelonephritis,D011704
38615,viral disease,CHEMBL1259059,4,Virus Diseases,D014777
38616,chronic lymphocytic leukemia,CHEMBL2107825,2,"Leukemia, Lymphocytic, Chronic, B-Cell",D015451
38617,viral disease,CHEMBL2107825,4,Virus Diseases,D014777
38632,insulin resistance,CHEMBL2107830,3,Insulin Resistance,D007333
38635,pulmonary hypertension,CHEMBL2107834,4,"Hypertension, Pulmonary",D006976
38636,ulcer disease,CHEMBL2107834,2,Ulcer,D014456
38638,Vomiting,CHEMBL1189679,1,Vomiting,D014839
38639,gastric cancer,CHEMBL1189679,2,Stomach Neoplasms,D013274
38640,brain cancer,CHEMBL1189679,2,Brain Neoplasms,D001932
38641,bacterial disease,CHEMBL3351077,4,Bacterial Infections,D001424
38642,bacterial disease,CHEMBL1601,4,Bacterial Infections,D001424
38643,diabetes mellitus,CHEMBL1697838,4,Diabetes Mellitus,D003920
38644,acute lymphoblastic leukemia,CHEMBL159,2,Precursor Cell Lymphoblastic Leukemia-Lymphoma,D054198
38645,testicular neoplasm,CHEMBL159,3,Testicular Neoplasms,D013736
38646,Central Nervous System Neoplasm,CHEMBL159,1,Central Nervous System Neoplasms,D016543
38647,urinary bladder cancer,CHEMBL159,3,Urinary Bladder Neoplasms,D001749
38648,pediatric lymphoma,CHEMBL159,3,Lymphoma,D008223
38649,urethra cancer,CHEMBL159,3,Urethral Neoplasms,D014523
38650,prostate cancer,CHEMBL159,3,"Prostatic Neoplasms, Castration-Resistant",D064129
38651,lung cancer,CHEMBL159,3,Lung Neoplasms,D008175
38652,classic Hodgkin lymphoma,CHEMBL159,3,Hodgkin Disease,D006689
38653,Helminthiasis,CHEMBL1201303,4,Helminthiasis,D006373
38654,bacterial disease,CHEMBL617,4,Bacterial Infections,D001424
38655,Airway obstruction,CHEMBL428880,4,"Lung Diseases, Obstructive",D008173
38665,Helminthiasis,CHEMBL1454,4,Helminthiasis,D006373
38666,gastrointestinal disease,CHEMBL1201232,4,Digestive System Diseases,D004066
38667,gastric cancer,CHEMBL1679,2,Stomach Neoplasms,D013274
38668,biliary tract cancer,CHEMBL1679,2,Biliary Tract Neoplasms,D001661
38669,methamphetamine dependence,CHEMBL1175,1,Amphetamine-Related Disorders,D019969
38670,Low back pain,CHEMBL1175,3,Low Back Pain,D017116
38671,diabetic polyneuropathy,CHEMBL1175,3,Diabetic Neuropathies,D003929
38672,major depressive disorder,CHEMBL1175,3,"Depressive Disorder, Major",D003865
38673,depressive disorder,CHEMBL1175,4,Depressive Disorder,D003866
38674,cervical intraepithelial neoplasia,CHEMBL1201784,2,Cervical Intraepithelial Neoplasia,D018290
38675,gastrointestinal disease,CHEMBL1180725,4,Digestive System Diseases,D004066
38676,pneumocystosis,CHEMBL506,3,"Pneumonia, Pneumocystis",D011020
38677,bacterial disease,CHEMBL3182343,4,Bacterial Infections,D001424
38682,folate deficiency,CHEMBL2110563,4,Folic Acid Deficiency,D005494
38683,diabetic neuropathy,CHEMBL2110563,2,Diabetic Neuropathies,D003929
38684,peritoneum cancer,CHEMBL2110563,1,Peritoneal Neoplasms,D010534
38685,fallopian tube cancer,CHEMBL2110563,1,Fallopian Tube Neoplasms,D005185
38686,ovarian cancer,CHEMBL2110563,1,Ovarian Neoplasms,D010051
38687,prostate cancer,CHEMBL2110563,2,"Prostatic Neoplasms, Castration-Resistant",D064129
38688,lung cancer,CHEMBL2110563,2,Lung Neoplasms,D008175
38690,bacterial disease,CHEMBL1596,4,Bacterial Infections,D001424
38691,Tourette syndrome,CHEMBL641,2,Tourette Syndrome,D005879
38692,substance abuse,CHEMBL641,2,Substance-Related Disorders,D019966
38693,bacterial disease,CHEMBL428,4,Bacterial Infections,D001424
38694,erectile dysfunction,CHEMBL53,4,Erectile Dysfunction,D007172
38695,Hallucinations,CHEMBL53,2,Hallucinations,D006212
38696,brain injury,CHEMBL53,2,Brain Injuries,D001930
38697,viral disease,CHEMBL593,4,Virus Diseases,D014777
38698,Erythema,CHEMBL762,3,Erythema,D004890
38699,diabetes mellitus,CHEMBL707,3,Diabetes Mellitus,D003920
38700,myocardial infarction,CHEMBL707,3,Myocardial Infarction,D009203
38701,heart failure,CHEMBL707,3,Heart Failure,D006333
38702,Myocardial Ischemia,CHEMBL707,3,Myocardial Ischemia,D017202
38703,Hypercholesterolemia,CHEMBL707,3,Hypercholesterolemia,D006937
38704,substance abuse,CHEMBL707,1,Substance-Related Disorders,D019966
38705,severe acute respiratory syndrome,CHEMBL191,3,Severe Acute Respiratory Syndrome,D045169
38706,acute respiratory distress syndrome,CHEMBL191,2,Respiratory Distress Syndrome,D012128
38707,pulmonary hypertension,CHEMBL191,3,"Hypertension, Pulmonary",D006976
38708,diabetes mellitus,CHEMBL1491,3,Diabetes Mellitus,D003920
38709,hypertrophic cardiomyopathy,CHEMBL1491,2,"Cardiomyopathy, Hypertrophic",D002312
38710,myocardial infarction,CHEMBL1491,3,Myocardial Infarction,D009203
38711,kidney disease,CHEMBL1491,1,Kidney Diseases,D007674
38712,atherosclerosis,CHEMBL1491,3,Atherosclerosis,D050197
38713,Myocardial Ischemia,CHEMBL1491,3,Myocardial Ischemia,D017202
38714,Hypercholesterolemia,CHEMBL1491,3,Hypercholesterolemia,D006937
38715,focal dystonia,CHEMBL1491,2,Dystonic Disorders,D020821
38716,primary aldosteronism,CHEMBL1491,2,Hyperaldosteronism,D006929
38717,breast cancer,CHEMBL1491,1,Breast Neoplasms,D001943
38718,allergy,CHEMBL511,4,Hypersensitivity,D006967
38719,schizophrenia,CHEMBL1349,2,Schizophrenia,D012559
38720,schizoaffective disorder,CHEMBL1349,2,Psychotic Disorders,D011618
38721,prostate cancer,CHEMBL1349,3,"Prostatic Neoplasms, Castration-Resistant",D064129
38722,lung cancer,CHEMBL1349,1,Lung Neoplasms,D008175
38723,encephalitis,CHEMBL1349,3,Encephalitis,D004660
38724,allergy,CHEMBL1241,4,Hypersensitivity,D006967
38725,Bradycardia,CHEMBL703,2,Bradycardia,D001919
38726,endometrial cancer,CHEMBL376180,2,Endometrial Neoplasms,D016889
38729,organophosphate poisoning,CHEMBL1420,3,Organophosphate Poisoning,D062025
38730,gastrointestinal disease,CHEMBL1697841,4,Digestive System Diseases,D004066
38731,breast cancer,CHEMBL1208422,1,Breast Neoplasms,D001943
38734,erectile dysfunction,CHEMBL19224,4,Erectile Dysfunction,D007172
38735,gastrointestinal disease,CHEMBL19224,4,Digestive System Diseases,D004066
38736,prostate cancer,CHEMBL19224,2,"Prostatic Neoplasms, Castration-Resistant",D064129
38737,allergy,CHEMBL1623738,0,Hypersensitivity,D006967
38738,prostate cancer,CHEMBL836,3,"Prostatic Neoplasms, Castration-Resistant",D064129
38739,Intervertebral disc degeneration,CHEMBL2110674,3,Intervertebral Disc Degeneration,D055959
38740,Recurrent aphthous stomatitis,CHEMBL2110674,3,"Stomatitis, Aphthous",D013281
38741,prostate cancer,CHEMBL2110674,2,"Prostatic Neoplasms, Castration-Resistant",D064129
38743,attention deficit hyperactivity disorder,CHEMBL159776,0,Attention Deficit Disorder with Hyperactivity,D001289
38744,allergy,CHEMBL1411979,4,Hypersensitivity,D006967
38745,uterine cancer,CHEMBL55400,2,Uterine Neoplasms,D014594
38746,Helminthiasis,CHEMBL1626223,4,Helminthiasis,D006373
38748,cardiovascular disease,CHEMBL75880,4,Cardiovascular Diseases,D002318
38749,bacterial disease,CHEMBL403,4,Bacterial Infections,D001424
38750,chorioamnionitis,CHEMBL403,2,Chorioamnionitis,D002821
38751,Spasticity,CHEMBL1079,2,Muscle Spasticity,D009128
38752,allergy,CHEMBL1193,4,Hypersensitivity,D006967
38753,Dementia,CHEMBL95,4,Dementia,D003704
38754,infection,CHEMBL1535,3,Infections,D007239
38755,severe acute respiratory syndrome,CHEMBL1535,3,Severe Acute Respiratory Syndrome,D045169
38756,pneumonia,CHEMBL1535,3,Pneumonia,D011014
38757,cutaneous lupus erythematosus,CHEMBL1535,3,"Lupus Erythematosus, Cutaneous",D008178
38758,coronavirus infectious disease,CHEMBL1535,3,Coronavirus Infections,D018352
38759,pneumocystosis,CHEMBL1535,3,"Pneumonia, Pneumocystis",D011020
38760,viral pneumonia,CHEMBL1535,3,"Pneumonia, Viral",D011024
38761,respiratory failure,CHEMBL1535,3,Respiratory Insufficiency,D012131
38762,Central Nervous System Neoplasm,CHEMBL1535,1,Central Nervous System Neoplasms,D016543
38763,acute respiratory distress syndrome,CHEMBL1535,3,Respiratory Distress Syndrome,D012128
38764,breast cancer,CHEMBL1535,2,Breast Neoplasms,D001943
38765,ovarian cancer,CHEMBL1535,1,Ovarian Neoplasms,D010051
38766,prostate cancer,CHEMBL1535,2,"Prostatic Neoplasms, Castration-Resistant",D064129
38767,lung cancer,CHEMBL1535,1,Lung Neoplasms,D008175
38768,graft versus host disease,CHEMBL1535,3,Graft vs Host Disease,D006086
38769,Polyuria,CHEMBL1734,4,Polyuria,D011141
38770,neuroblastoma,CHEMBL84,2,Neuroblastoma,D009447
38771,cervical cancer,CHEMBL84,2,Uterine Cervical Neoplasms,D002583
38772,ovarian cancer,CHEMBL84,3,Ovarian Neoplasms,D010051
38773,Sciatica,CHEMBL72,2,Sciatica,D012585
38774,major depressive disorder,CHEMBL72,3,"Depressive Disorder, Major",D003865
38775,bacterial disease,CHEMBL1619785,4,Bacterial Infections,D001424
38776,aortic stenosis,CHEMBL1464,3,Aortic Valve Stenosis,D001024
38777,coronary artery disease,CHEMBL1464,3,Coronary Disease,D003327
38778,atherosclerosis,CHEMBL1464,3,Atherosclerosis,D050197
38779,Thrombocytopenia,CHEMBL1464,3,Thrombocytopenia,D013921
38780,Thromboembolism,CHEMBL1464,3,Thromboembolism,D013923
