,chembl_id,synonyms,max_phase,atc_codes,level_4_atc,level_3_atc,level_2_atc,levle_1_atc,drug_type,passes_ro5,chirality,prodrug,oral,parenteral,topical,black_box,availability_type,withdrawn_year,withdrawn_reason,withdrawn_country,withdrawn_class,smiles,molecule_type,structure_type,therapeutic_flag,indication_class,alogp,aromatic_rings,cx_logd,cx_logp,cx_most_apka,cx_most_bpka,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy_atoms,molecular_species,mw_freebase,mw_monoisotopic,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,ro3_pass,rtb,parent_chembl_id,parent_smiles,inchi_key,parent_inchi_key,chembl_tox,action_type,direct_interaction,disease_efficacy,molecular_mechanism,target_chembl_id,pubchem_cid,withdrawn_chembl
9891,CHEMBL450,ENDIEMAL|Gemonil|METHARBITAL|Metharbital,4,N03AA30,N03AA - Barbiturates and derivatives,N03A - ANTIEPILEPTICS,N03 - ANTIEPILEPTICS,N - NERVOUS SYSTEM,1:Synthetic Small Molecule,True,Achiral Molecule,False,True,False,False,False,Discontinued,None,None,None,None,CCC1(CC)C(=O)NC(=O)N(C)C1=O,Small molecule,MOL,True,,0.50,0,0.78,0.94,7.75,,198.22,3,5,1,1,14,NEUTRAL,198.22,198.1004,0,0,66.48,0.66,N,2,CHEMBL450,CCC1(CC)C(=O)NC(=O)N(C)C1=O,FWJKNZONDWOGMI-UHFFFAOYSA-N,FWJKNZONDWOGMI-UHFFFAOYSA-N,Safe,POSITIVE ALLOSTERIC MODULATOR,True,True,True,CHEMBL2093872,missing,0
9894,CHEMBL542,4-Aminobenzoic Acid|AMINOBENZOIC ACID|Aminobenzoic Acid|PABA|PARA-AMINOBENZOIC ACID|RVPaba Lipstick,4,D02BA01,D02BA - Protectives against UV-radiation for topical use,D02B - PROTECTIVES AGAINST UV-RADIATION,D02 - EMOLLIENTS AND PROTECTIVES,D - DERMATOLOGICALS,1:Synthetic Small Molecule,True,Achiral Molecule,False,False,False,False,False,Unknown,None,None,None,None,Nc1ccc(C(=O)O)cc1,Small molecule,MOL,True,"Analgesic,Ultraviolet Screen",0.97,1,-1.80,0.80,4.77,2.69,137.14,2,3,2,3,10,ACID,137.14,137.0477,0,0,63.32,0.57,N,1,CHEMBL542,Nc1ccc(C(=O)O)cc1,ALYNCZNDIQEVRV-UHFFFAOYSA-N,ALYNCZNDIQEVRV-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,missing,0
9903,CHEMBL1201263,HYDROCORTAMATE|Hydrocortamate,4,,,,,,7:Natural Product-derived,True,Single Stereoisomer,True,False,False,True,False,Discontinued,None,None,None,None,CCN(CC)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,Small molecule,MOL,True,,2.67,0,2.28,2.32,12.61,6.43,475.63,7,7,2,2,34,NEUTRAL,475.63,475.2934,0,0,104.14,0.55,N,7,CHEMBL1201263,CCN(CC)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,FWFVLWGEFDIZMJ-FOMYWIRZSA-N,FWFVLWGEFDIZMJ-FOMYWIRZSA-N,Safe,missing,missing,missing,missing,missing,missing,0
9906,CHEMBL386630,ANDROPATCH|AXIRON|Androderm|Androgel|Androgel 1%|Delatestryl|FORTESTA|INTRINSA|NATESTO|NSC-9700|STRIANT|STRIANT SR|TESTIM|TESTODERM|TESTODERM TTS|TESTOGEL|TESTOPATCH|TESTOPEL|TESTORAL|TESTOSTERONE|TESTOSTERONE CIII|TOSTRAN|Testim|Testim 1%|Testosterone|VOGELXO,4,G03BA03,G03BA - 3-oxoandrosten (4) derivatives,G03B - ANDROGENS,G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G - GENITO URINARY SYSTEM AND SEX HORMONES,7:Natural Product-derived,True,Single Stereoisomer,False,False,True,True,True,Prescription Only,None,None,None,None,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,Small molecule,MOL,True,Androgen,3.88,0,3.37,3.37,,,288.43,2,2,1,1,21,NEUTRAL,288.43,288.2089,0,0,37.30,0.73,N,0,CHEMBL386630,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,Safe,AGONIST,True,True,True,CHEMBL1871,missing,0
9908,CHEMBL650,"J3.872E|MEDRONE|METHYLPREDNISOLONE|Medrol|Methylprednisolone|NSC-19987|U-67,590A",4,D07AA01 | H02BX01 | H02AB04 | D10AA02,"D07AA - Corticosteroids, weak (group I) | H02BX - Corticosteroids for systemic use, combinations | H02AB - Glucocorticoids | D10AA - Corticosteroids, combinations for treatment of acne","D07A - CORTICOSTEROIDS, PLAIN | H02B - CORTICOSTEROIDS FOR SYSTEMIC USE, COMBINATIONS | H02A - CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN | D10A - ANTI-ACNE PREPARATIONS FOR TOPICAL USE","D07 - CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS | H02 - CORTICOSTEROIDS FOR SYSTEMIC USE | H02 - CORTICOSTEROIDS FOR SYSTEMIC USE | D10 - ANTI-ACNE PREPARATIONS","D - DERMATOLOGICALS | H - SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS | H - SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS | D - DERMATOLOGICALS",7:Natural Product-derived,True,Single Stereoisomer,False,True,False,True,False,Prescription Only,None,None,None,None,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12,Small molecule,MOL,True,Glucocorticoid,1.80,0,1.56,1.56,12.59,,374.48,5,5,3,3,27,NEUTRAL,374.48,374.2093,0,0,94.83,0.69,N,2,CHEMBL650,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12,VHRSUDSXCMQTMA-PJHHCJLFSA-N,VHRSUDSXCMQTMA-PJHHCJLFSA-N,Safe,AGONIST,True,True,True,CHEMBL2034,missing,0
9912,CHEMBL3137301,AHU-377|AHU377|SACUBITRIL,4,,,,,,1:Synthetic Small Molecule,True,Single Stereoisomer,True,True,False,False,True,Prescription Only,None,None,None,None,CCOC(=O)[C@H](C)C[C@@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)CCC(=O)O,Small molecule,MOL,True,,3.84,2,0.74,3.79,4.18,,411.50,4,6,2,2,30,ACID,411.50,411.2046,0,0,92.70,0.55,N,11,CHEMBL3137301,CCOC(=O)[C@H](C)C[C@@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)CCC(=O)O,PYNXFZCZUAOOQC-UTKZUKDTSA-N,PYNXFZCZUAOOQC-UTKZUKDTSA-N,Safe,INHIBITOR,True,True,True,CHEMBL1944,missing,0
9923,CHEMBL1201314,VALGANCICLOVIR,4,J05AB14,J05AB - Nucleosides and nucleotides excl. reverse transcriptase inhibitors,J05A - DIRECT ACTING ANTIVIRALS,J05 - ANTIVIRALS FOR SYSTEMIC USE,J - ANTIINFECTIVES FOR SYSTEMIC USE,7:Natural Product-derived,True,Racemic Mixture,True,True,False,False,True,Prescription Only,None,None,None,None,CC(C)[C@H](N)C(=O)OCC(CO)OCn1cnc2c(=O)[nH]c(N)nc21,Small molecule,MOL,True,Antiviral,-1.44,2,-1.55,-1.21,10.16,7.48,354.37,10,11,4,6,25,NEUTRAL,354.37,354.1652,2,0,171.37,0.41,N,8,CHEMBL1201314,CC(C)[C@H](N)C(=O)OCC(CO)OCn1cnc2c(=O)[nH]c(N)nc21,WPVFJKSGQUFQAP-GKAPJAKFSA-N,WPVFJKSGQUFQAP-GKAPJAKFSA-N,toxic_carcinogenic+toxic_hema+toxic_teratogen,missing,missing,missing,missing,missing,missing,0
9924,CHEMBL421,AZULFIDINE EN-TABS|Azulfidine|Azulfidine EN|COLIZINE|NSC-203730|NSC-667219|S.A.S.-500|S.a.s.|SALAZOPYRIN|SALAZOPYRIN E.C.|SALAZOPYRIN-EN|SALAZOSULFAPYRIDINE|SALICYLAZOSULFAPYRIDINE|SAS-500|SULFASALAZINE|SULPHASALAZINE|Salazosulfapyridine|Salicylazosulfapyridine|UCINE,4,A07EC01,A07EC - Aminosalicylic acid and similar agents,A07E - INTESTINAL ANTIINFLAMMATORY AGENTS,"A07 - ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A - ALIMENTARY TRACT AND METABOLISM,1:Synthetic Small Molecule,True,Achiral Molecule,True,True,False,False,False,Prescription Only,None,None,None,None,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,Small molecule,MOL,True,Antibacterial,3.70,3,0.25,4.25,3.23,0.55,398.40,7,9,3,3,28,ACID,398.40,398.0685,0,0,141.31,0.54,N,6,CHEMBL421,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,NCEXYHBECQHGNR-QZQOTICOSA-N,NCEXYHBECQHGNR-QZQOTICOSA-N,Safe,INHIBITOR+INHIBITOR,True+True,True+True,True+True,CHEMBL215+CHEMBL2094253,missing,0
9926,CHEMBL3305985,ALCURONIUM,4,M03AA01,M03AA - Curare alkaloids,"M03A - MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS",M03 - MUSCLE RELAXANTS,M - MUSCULO-SKELETAL SYSTEM,7:Natural Product-derived,False,Single Stereoisomer,False,False,False,False,False,Unknown,None,None,None,None,C=CC[N@@+]12CC[C@@]34c5ccccc5N5/C=C6/[C@H]7C[C@H]8[C@@]9(CC[N@@+]8(CC=C)C/C7=C/CO)c7ccccc7N(/C=C(/[C@@H](C[C@@H]31)/C(=C\CO)C2)[C@H]54)[C@@H]69,Small molecule,MOL,True,,5.48,2,-4.27,-4.27,,1.52,666.91,4,6,2,2,50,NEUTRAL,666.91,666.3923,2,2,46.94,0.32,N,6,CHEMBL3305985,C=CC[N@@+]12CC[C@@]34c5ccccc5N5/C=C6/[C@H]7C[C@H]8[C@@]9(CC[N@@+]8(CC=C)C/C7=C/CO)c7ccccc7N(/C=C(/[C@@H](C[C@@H]31)/C(=C\CO)C2)[C@H]54)[C@@H]69,MUQUYTSLDVKIOF-CHJKCJHBSA-N,MUQUYTSLDVKIOF-CHJKCJHBSA-N,Safe,POSITIVE ALLOSTERIC MODULATOR,True,True,True,CHEMBL211,missing,0
9930,CHEMBL931,Fluothane|HALOTHANE|Halothane|Rhidialothan,4,N01AB01,N01AB - Halogenated hydrocarbons,"N01A - ANESTHETICS, GENERAL",N01 - ANESTHETICS,N - NERVOUS SYSTEM,1:Synthetic Small Molecule,True,Racemic Mixture,False,False,False,True,False,Discontinued,None,None,None,None,FC(F)(F)C(Cl)Br,Small molecule,MOL,True,Anesthetic (inhalation),2.51,0,2.12,2.12,,,197.38,0,0,0,0,7,NEUTRAL,197.38,195.8902,0,0,0.00,0.52,Y,0,CHEMBL931,FC(F)(F)C(Cl)Br,BCQZXOMGPXTTIC-UHFFFAOYSA-N,BCQZXOMGPXTTIC-UHFFFAOYSA-N,Safe,POSITIVE MODULATOR+POSITIVE ALLOSTERIC MODULATOR+OPENER+OPENER+OPENER+OPENER+OPENER,True+True+True+True+True+True+True,True+True+True+True+True+True+True,True+True+True+True+True+True+True,CHEMBL2363052+CHEMBL2093872+CHEMBL2331041+CHEMBL2331042+CHEMBL2321613+CHEMBL2321614+CHEMBL2321615,missing,0
9932,CHEMBL1086440,EGA230B|EGATEN|EGATEN TM|NVP-EGA230|TRICLABENDAZOLE,4,P02BX04,P02BX - Other antitrematodal agents,P02B - ANTITREMATODALS,P02 - ANTHELMINTICS,"P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",1:Synthetic Small Molecule,False,Achiral Molecule,False,True,False,False,False,Prescription Only,None,None,None,None,CSc1nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2[nH]1,Small molecule,MOL,True,,6.04,3,5.88,5.88,10.31,4.39,359.67,3,3,1,1,21,NEUTRAL,359.67,357.9501,1,1,37.91,0.58,N,3,CHEMBL1086440,CSc1nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2[nH]1,NQPDXQQQCQDHHW-UHFFFAOYSA-N,NQPDXQQQCQDHHW-UHFFFAOYSA-N,Safe,,True,True,True,,missing,0
9938,CHEMBL1200934,DEXNORGESTREL ACETIME|NORGESTIMATE|ORF 10131|ORF-10131|RWJ 10131|RWJ-10131,4,,,,,,7:Natural Product-derived,True,Single Stereoisomer,True,True,False,False,False,Prescription Only,None,None,None,None,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,Small molecule,MOL,True,Progestin,4.71,0,4.11,4.11,11.47,3.11,369.51,4,4,1,1,27,NEUTRAL,369.51,369.2304,0,0,58.89,0.33,N,2,CHEMBL1200934,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,KIQQMECNKUGGKA-NMYWJIRASA-N,KIQQMECNKUGGKA-NMYWJIRASA-N,Safe,AGONIST,True,True,True,CHEMBL208,missing,0
9940,CHEMBL3187365,ASENAPINE|SECUADO|SYCREST,4,N05AH05,"N05AH - Diazepines, oxazepines, thiazepines and oxepines",N05A - ANTIPSYCHOTICS,N05 - PSYCHOLEPTICS,N - NERVOUS SYSTEM,1:Synthetic Small Molecule,True,Racemic Mixture,False,False,False,True,True,Prescription Only,None,None,None,None,CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,Small molecule,MOL,True,,4.26,2,3.47,3.72,,7.29,285.77,2,2,0,0,20,NEUTRAL,285.77,285.0920,0,0,12.47,0.72,N,0,CHEMBL3187365,CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,VSWBSWWIRNCQIJ-UHFFFAOYSA-N,VSWBSWWIRNCQIJ-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,missing,0
9947,CHEMBL24441,BETAHISTINE,4,N07CA01,N07CA - Antivertigo preparations,N07C - ANTIVERTIGO PREPARATIONS,N07 - OTHER NERVOUS SYSTEM DRUGS,N - NERVOUS SYSTEM,1:Synthetic Small Molecule,True,Achiral Molecule,False,False,False,False,False,Unknown,None,None,None,None,CNCCc1ccccn1,Small molecule,MOL,True,Vasodilator,0.84,1,-1.68,0.63,,9.77,136.20,2,2,1,1,10,BASE,136.20,136.1000,0,0,24.92,0.67,Y,3,CHEMBL24441,CNCCc1ccccn1,UUQMNUMQCIQDMZ-UHFFFAOYSA-N,UUQMNUMQCIQDMZ-UHFFFAOYSA-N,Safe,ANTAGONIST+AGONIST,True+True,True+True,True+True,CHEMBL264+CHEMBL231,missing,0
9952,CHEMBL612,DEXAMFETAMINE|DEXAMPHETAMINE|DEXTROAMPHETAMINE|DEXTROAMPHETAMINE RESIN COMPLEX|Dexampex|Dexamphetamine|Dexedrine|Dextroamphetamine|Dextrostat|Ferndex|NSC-73713|d-Amphetamine,4,N06BA02,N06BA - Centrally acting sympathomimetics,"N06B - PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06 - PSYCHOANALEPTICS,N - NERVOUS SYSTEM,1:Synthetic Small Molecule,True,Single Stereoisomer,False,True,False,False,True,Prescription Only,None,None,None,None,C[C@H](N)Cc1ccccc1,Small molecule,MOL,True,Stimulant (central),1.58,1,-0.67,1.80,,10.01,135.21,1,1,1,2,10,BASE,135.21,135.1048,0,0,26.02,0.65,Y,2,CHEMBL612,C[C@H](N)Cc1ccccc1,KWTSXDURSIMDCE-QMMMGPOBSA-N,KWTSXDURSIMDCE-QMMMGPOBSA-N,Safe,RELEASING AGENT+RELEASING AGENT+INHIBITOR,True+True+True,True+True+True,True+True+True,CHEMBL238+CHEMBL222+CHEMBL1893,missing,0
9958,CHEMBL3989480,CITRAMAG|MAG CIT|MAG DIASPORAL 300|MAGCIT|MAGNESIUM CITRATE|NSC-83517,4,B05CB03 | A12CC04 | A06AD19,B05CB - Salt solutions | A12CC - Magnesium | A06AD - Osmotically acting laxatives,B05C - IRRIGATING SOLUTIONS | A12C - OTHER MINERAL SUPPLEMENTS | A06A - DRUGS FOR CONSTIPATION,B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS | A12 - MINERAL SUPPLEMENTS | A06 - DRUGS FOR CONSTIPATION,B - BLOOD AND BLOOD FORMING ORGANS | A - ALIMENTARY TRACT AND METABOLISM | A - ALIMENTARY TRACT AND METABOLISM,1:Synthetic Small Molecule,False,Achiral Molecule,False,False,False,False,False,Unknown,None,None,None,None,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Mg+2].[Mg+2].[Mg+2],Small molecule,MOL,False,,,,,,,,451.11,,,,,,,451.11,449.9622,,,,,,,CHEMBL3989480,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Mg+2].[Mg+2].[Mg+2],PLSARIKBYIPYPF-UHFFFAOYSA-H,PLSARIKBYIPYPF-UHFFFAOYSA-H,Safe,None+None,True+True,True+True,True+True,None+None,missing,0
9977,CHEMBL752,5'-ADENYLIC ACID|A 5MP|A-5MP|ADENOSINE PHOSPHATE|Adenosine Monophosphate (Amp)|Adenyl|My-B-Den|NSC-20264|VITAMIN B8,4,,,,,,7:Natural Product-derived,True,Single Stereoisomer,False,False,False,False,False,Withdrawn,None,None,United States,None,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,Small molecule,MOL,False,Nutrient,-1.86,2,-5.75,-4.75,1.22,4.88,347.22,10,12,5,6,23,ACID,347.22,347.0631,2,0,186.07,0.39,N,4,CHEMBL752,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,UDMBCSSLTHHNCD-KQYNXXCUSA-N,UDMBCSSLTHHNCD-KQYNXXCUSA-N,Safe,,True,True,True,,missing,1
9985,CHEMBL1289,HALOPROGIN|Halotex|M-1028|MYCANDEN,4,D01AE11,D01AE - Other antifungals for topical use,D01A - ANTIFUNGALS FOR TOPICAL USE,D01 - ANTIFUNGALS FOR DERMATOLOGICAL USE,D - DERMATOLOGICALS,1:Synthetic Small Molecule,True,Achiral Molecule,False,False,False,True,False,Discontinued,None,None,None,None,Clc1cc(Cl)c(OCC#CI)cc1Cl,Small molecule,MOL,True,Antibacterial,4.42,1,4.85,4.85,,,361.39,1,1,0,0,14,NEUTRAL,361.39,359.8372,0,0,9.23,0.43,N,2,CHEMBL1289,Clc1cc(Cl)c(OCC#CI)cc1Cl,CTETYYAZBPJBHE-UHFFFAOYSA-N,CTETYYAZBPJBHE-UHFFFAOYSA-N,Safe,INHIBITOR,True,True,True,CHEMBL2364033,missing,0
9986,CHEMBL1537,AZLOCILLIN|Azlin|Azlocillin,4,J01CA09,J01CA - Penicillins with extended spectrum,"J01C - BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01 - ANTIBACTERIALS FOR SYSTEMIC USE,J - ANTIINFECTIVES FOR SYSTEMIC USE,7:Natural Product-derived,True,Single Stereoisomer,False,False,True,False,False,Discontinued,None,None,None,None,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,Small molecule,MOL,True,Antibacterial,0.09,1,-3.70,-0.33,3.49,,461.50,6,11,4,4,32,ACID,461.50,461.1369,1,0,148.15,0.45,N,5,CHEMBL1537,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,JTWOMNBEOCYFNV-NFFDBFGFSA-N,JTWOMNBEOCYFNV-NFFDBFGFSA-N,Safe,missing,missing,missing,missing,missing,missing,0
9987,CHEMBL726,FLUPHENAZINE|Fluphenazine|NSC-62323|Permitil|Prolixin,4,N05AB02,N05AB - Phenothiazines with piperazine structure,N05A - ANTIPSYCHOTICS,N05 - PSYCHOLEPTICS,N - NERVOUS SYSTEM,1:Synthetic Small Molecule,True,Achiral Molecule,False,True,True,False,True,Prescription Only,None,None,None,None,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,Small molecule,MOL,True,Antipsychotic,4.31,2,3.41,3.97,,7.81,437.53,5,4,1,1,30,NEUTRAL,437.53,437.1749,0,0,29.95,0.73,N,6,CHEMBL726,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,PLDUPXSUYLZYBN-UHFFFAOYSA-N,PLDUPXSUYLZYBN-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,missing,0
9992,CHEMBL2355051,CLOMIFENE|CLOMIPHENE|Clomiphene,4,G03GB02,"G03GB - Ovulation stimulants, synthetic",G03G - GONADOTROPINS AND OTHER OVULATION STIMULANTS,G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G - GENITO URINARY SYSTEM AND SEX HORMONES,1:Synthetic Small Molecule,False,Achiral Molecule,False,True,False,False,False,Prescription Only,None,None,None,None,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1,Small molecule,MOL,True,Anti-Estrogen,6.56,3,4.57,6.47,,9.31,405.97,2,2,0,0,29,BASE,405.97,405.1859,1,1,12.47,0.37,N,9,CHEMBL2355051,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1,GKIRPKYJQBWNGO-UHFFFAOYSA-N,GKIRPKYJQBWNGO-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,missing,0
9999,CHEMBL1201308,Iofetamine,4,,,,,,1:Synthetic Small Molecule,True,Racemic Mixture,False,False,True,False,False,Discontinued,None,None,None,None,CC(C)NC(C)Cc1ccc(I)cc1,Small molecule,MOL,False,Radioactive Agent; Diagnostic Aid,3.22,1,1.17,3.94,,10.35,303.19,1,1,1,1,14,BASE,303.19,303.0484,0,0,12.03,0.84,N,4,CHEMBL1201308,CC(C)NC(C)Cc1ccc(I)cc1,ISEHJSHTIVKELA-UHFFFAOYSA-N,ISEHJSHTIVKELA-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,missing,0
10002,CHEMBL1200468,"8059HC|Cythion|DERBAC-M|ENT 17,034|ENT-17034|MALATHION|Malathion|NSC-6524|OVIDE|Organoderm|Ovide|PRIODERM|QUELLADA-M|SULEO-M",4,P03AX03,"P03AX - Other ectoparasiticides, incl. scabicides","P03A - ECTOPARASITICIDES, INCL. SCABICIDES","P03 - ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS","P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",1:Synthetic Small Molecule,True,Racemic Mixture,False,False,False,True,False,Prescription Only,None,None,None,None,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,Small molecule,MOL,True,Pediculicide,2.12,0,1.86,1.86,,,330.36,8,6,0,0,19,NEUTRAL,330.36,330.0361,0,0,71.06,0.47,N,9,CHEMBL1200468,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,JXSJBGJIGXNWCI-UHFFFAOYSA-N,JXSJBGJIGXNWCI-UHFFFAOYSA-N,Safe,INHIBITOR,True,True,True,CHEMBL2362988,missing,0
10008,CHEMBL1504,ADCORTYL|ADCORTYL IN ORABASE|ALLERNAZE|ARISTOCORT A|ARISTOGEL|AUDICORT|AUREOCORT|Aristocort|Azmacort|FLUTEX|FX-006|FX006|GPPE EAR DPS CAP|GPPE EAR OINT|KENACORT|KENALOG IN ORABASE|KENALOG-10|KENALOG-40|KENALOG-80|KENALOG-H|Kenacourt|Kenalog|NASACORT ALLERGY 24 HOUR|NASACORT AQ|NASACORT HFA|NSC-21916|NYSTADERMAL|Nasacort|Oracort|Oralone|PEVARYL T.C.|REMIDERM|REMOTIC|SILDERM|TRI-ADCORTYL|TRIACORT|TRIAMCINOLONE ACETONIDE|TRIAMCINOLONE ACETONIDE IN ABSORBASE|TRIATEX|TRIESENCE|TRIVARIS|TRYMEX|Tri-nasal|Triacet|Triamcinolone Acetonide|Triderm|Vetalog|ZILRETTA,4,,,,,,7:Natural Product-derived,True,Single Stereoisomer,False,False,True,True,False,Over the Counter,None,None,None,None,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,Small molecule,MOL,True,Glucocorticoid,2.42,0,1.94,1.94,13.40,,434.50,6,6,2,2,31,NEUTRAL,434.50,434.2105,0,0,93.06,0.69,N,2,CHEMBL1504,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,YNDXUCZADRHECN-JNQJZLCISA-N,YNDXUCZADRHECN-JNQJZLCISA-N,Safe,AGONIST,True,True,True,CHEMBL2034,missing,0
10014,CHEMBL1040,25-Hydroxycholecalciferol (Calcifediol),4,,,,,,7:Natural Product-derived,False,Single Stereoisomer,False,True,False,False,False,Prescription Only,None,None,None,None,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)(C)O,Small molecule,MOL,True,Regulator (calcium),6.73,0,5.65,5.65,,,400.65,2,2,2,2,29,NEUTRAL,400.65,400.3341,1,1,40.46,0.52,N,6,CHEMBL1040,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)(C)O,JWUBBDSIWDLEOM-DTOXIADCSA-N,JWUBBDSIWDLEOM-DTOXIADCSA-N,Safe,missing,missing,missing,missing,missing,missing,0
10016,CHEMBL611,Hytrin|TERAZOSIN|Terazosin,4,G04CA03,G04CA - Alpha-adrenoreceptor antagonists,G04C - DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,G04 - UROLOGICALS,G - GENITO URINARY SYSTEM AND SEX HORMONES,1:Synthetic Small Molecule,True,Racemic Mixture,False,True,False,False,False,Prescription Only,None,None,None,None,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,Small molecule,MOL,True,Antihypertensive,1.06,2,0.95,1.18,,7.24,387.44,8,9,1,2,28,NEUTRAL,387.44,387.1907,0,0,103.04,0.83,N,4,CHEMBL611,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,VCKUSRYTPJJLNI-UHFFFAOYSA-N,VCKUSRYTPJJLNI-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,missing,0
